,gene1,gene2,cost,psi
4080,ODF2L,TMEM212,4.156007317953246,6.283185307179586
2619,FTH1,PFN1,6.597608182525153,6.283185307179586
1545,CFLAR,TMEM212,8.325391940514697,6.283185307179586
1536,CFLAR,ODF2L,8.43430599982536,6.283185307179586
4596,RPL23A,RPL41,13.1854800400679,6.283185307179586
501,ASTN2,TMEM212,13.685145320605487,6.283185307179586
2284,EIF3F,PFN1,13.79588441103361,6.283185307179586
4612,RPL41,RPS23,14.671418398207901,6.283185307179586
482,ASTN2,CFLAR,14.833635897691813,6.283185307179586
491,ASTN2,ODF2L,15.085346331516233,6.283185307179586
4212,PFN1,RPL13,15.225950917459109,0.36959913571644626
2281,EIF3F,FTH1,15.490078133588293,0.36959913571644626
4095,ORC4,TMEM212,16.273512743182195,6.283185307179586
3407,KRI1,MTRNR2L6,17.752990234514147,0.36959913571644626
492,ASTN2,ORC4,17.77624094173901,0.36959913571644626
2621,FTH1,RPL13,18.279147529612956,0.36959913571644626
3917,MTRNR2L6,TIGD1,18.374594096527723,0.36959913571644626
4613,RPL41,RPS25,18.79932661220015,6.283185307179586
4599,RPL23A,RPS25,19.219149606731904,6.283185307179586
4700,SCAF4,TRIML2,19.338653279912876,5.543987035746694
2286,EIF3F,RPL13,19.634457431656838,0.36959913571644626
4598,RPL23A,RPS23,19.712414346666733,0.36959913571644626
4073,ODF2L,ORC4,19.764799494962308,6.283185307179586
502,ASTN2,ZNF471,20.10578544977422,0.36959913571644626
4970,TIGD1,TMEM212,20.454047562907604,0.36959913571644626
3919,MTRNR2L6,TMEM212,20.473823652586926,0.36959913571644626
1647,CLSPN,MTRNR2L6,20.53569263652944,0.36959913571644626
1407,CDK1,KPNA2,20.59569471134566,0.36959913571644626
3396,KPNA2,TOP2A,20.70392684606946,0.36959913571644626
4256,PIGK,PPP1R15B,21.228836061798773,5.91358617146314
5012,TOP2A,UBE2C,21.334504812705188,0.36959913571644626
3925,MTRNR2L6,ZNF621,21.397007562328263,0.36959913571644626
4250,PHLDA1,ZDHHC20,21.460446918963292,0.7391982714328925
2387,ENO1,GAPDH,21.670888621241446,6.283185307179586
3920,MTRNR2L6,TNIK,21.77265599593962,5.91358617146314
3908,MTRNR2L6,RBM25,21.84825682027864,0.36959913571644626
3703,MED14,RAB3B,21.873591723248158,0.7391982714328925
255,ANP32E,PPP1CB,22.12866910357032,0.36959913571644626
3910,MTRNR2L6,SCAF4,22.21328774102293,5.543987035746694
2598,FMNL3,GRHL2,22.407368703079612,0.7391982714328925
3076,HNRNPH1,PPP1CB,22.424138218478348,0.36959913571644626
4181,PDIA3,PFN1,22.54247632388526,0.36959913571644626
4995,TMEM212,ZNF471,22.578575269764393,0.36959913571644626
2618,FTH1,PDIA3,22.762166527457367,0.36959913571644626
4079,ODF2L,TIGD1,22.792689013440654,0.36959913571644626
1537,CFLAR,ORC4,22.94550717896915,0.36959913571644626
3319,KIAA1109,PGAP1,23.062714420094537,5.543987035746694
4650,RPS23,RPS25,23.186039681697824,0.36959913571644626
4081,ODF2L,ZNF471,23.407143999861898,5.91358617146314
2445,ERBB2,SCAF4,23.541828374028135,5.543987035746694
4259,PIGK,ZNF202,23.615655717432123,5.543987035746694
4488,RAB3B,TNRC6B,23.646414050260155,5.91358617146314
3401,KPNA2,UBE2C,23.704438938379873,0.36959913571644626
2895,H3F3A,RPL23A,23.74911048732471,0.36959913571644626
1425,CDK1,TOP2A,23.82871431793223,0.36959913571644626
4343,PPP1CB,TLK1,23.844924185238572,0.36959913571644626
3901,MTRNR2L6,ODF2L,23.872914880289358,0.36959913571644626
4502,RAD51AP1,SGCB,23.909330104485043,0.36959913571644626
4248,PHLDA1,SLC44A2,23.930174732330347,5.543987035746694
3903,MTRNR2L6,PIGK,23.995061629005978,5.91358617146314
1548,CFLAR,ZNF471,24.062043968458802,0.36959913571644626
5052,YME1L1,ZDHHC20,24.148674183545477,0.36959913571644626
441,ASH1L,KIAA1109,24.191129866648375,5.543987035746694
4597,RPL23A,RPL7,24.30059394176794,0.36959913571644626
3922,MTRNR2L6,VMA21,24.448056132522712,0.36959913571644626
2896,H3F3A,RPL41,24.637501029216416,0.36959913571644626
3912,MTRNR2L6,SLC16A1,24.641509157169562,0.36959913571644626
1544,CFLAR,TIGD1,24.69717869388912,0.36959913571644626
3914,MTRNR2L6,SMC2,24.783046013074234,0.36959913571644626
3900,MTRNR2L6,NSRP1,24.81096128427675,0.36959913571644626
3902,MTRNR2L6,ORC4,24.81385033841917,0.36959913571644626
1937,DDX11,MTRNR2L6,24.90599664781695,5.91358617146314
3699,MED14,PRKRIR,24.911846943466013,5.543987035746694
41,ACACA,MTRNR2L6,24.960772440955328,0.36959913571644626
536,ATP1B3,FTH1,24.993802593653136,0.36959913571644626
3898,MTRNR2L6,MYLIP,24.9996616026463,5.91358617146314
603,AURKA,UBE2C,25.207493498111294,5.91358617146314
3636,MARCKS,PPP1CB,25.283529351522798,0.36959913571644626
4973,TIGD1,ZNF621,25.33610731758412,0.36959913571644626
2424,EPM2AIP1,TNKS,25.377771093966274,0.7391982714328925
3449,LAMC1,ZDHHC20,25.378769786077747,0.36959913571644626
4939,TAC3,ZDHHC20,25.512676966753446,5.543987035746694
3913,MTRNR2L6,SLC29A1,25.579708202238077,0.36959913571644626
2472,ETV1,WDR59,25.671257272715092,5.543987035746694
2072,DMXL1,PIGK,25.73368190253724,5.543987035746694
4486,RAB3B,TIGD1,25.76740269733177,5.91358617146314
2922,HEATR1,ZDHHC20,25.782594992711033,5.91358617146314
3706,MED14,SRFBP1,25.872690863732824,0.7391982714328925
245,ANP32E,HNRNPH1,25.91494278512222,0.36959913571644626
685,BCAT1,PPP1CB,25.928920578738108,0.36959913571644626
4094,ORC4,TIGD1,26.06476152315492,0.36959913571644626
979,C2orf69,HEATR1,26.081925830245478,0.36959913571644626
1641,CLSPN,FXR1,26.102558243440885,0.36959913571644626
1132,CASC5,MED14,26.148094519515247,5.543987035746694
